k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,9.224,3.658,4.987,0.579,1
104,4,32,3328,9.682,3.836,5.23,0.616,1
108,4,32,3456,10.216,4.034,5.542,0.64,1
112,4,32,3584,10.517,4.242,5.621,0.654,1
116,4,32,3712,11.07,4.403,5.955,0.712,1
120,4,32,3840,11.429,4.547,6.171,0.711,1
124,4,32,3968,11.593,4.718,6.168,0.707,1
128,4,32,4096,12.025,4.845,6.441,0.739,1
16,4,32,512,1.788,0.708,0.954,0.126,1
32,4,32,1024,3.145,1.212,1.71,0.223,1
4,4,32,128,0.403,0.176,0.183,0.044,1
4,4,32,128,12.02,11.723,0.246,0.051,0
64,4,32,2048,6.133,2.287,3.42,0.426,1
68,4,32,2176,6.37,2.416,3.53,0.424,1
72,4,32,2304,6.75,2.556,3.727,0.467,1
76,4,32,2432,7.168,2.696,3.978,0.494,1
80,4,32,2560,7.581,2.826,4.188,0.567,1
84,4,32,2688,8.019,2.939,4.553,0.527,1
88,4,32,2816,8.418,3.103,4.729,0.586,1
8,4,32,256,0.828,0.368,0.401,0.059,1
92,4,32,2944,8.865,3.269,5.023,0.573,1
96,4,32,3072,9.076,3.445,5.04,0.591,1
100,4,32,3200,9.224,3.658,4.987,0.579,1
104,4,32,3328,9.682,3.836,5.23,0.616,1
108,4,32,3456,10.216,4.034,5.542,0.64,1
112,4,32,3584,10.517,4.242,5.621,0.654,1
116,4,32,3712,11.07,4.403,5.955,0.712,1
120,4,32,3840,11.429,4.547,6.171,0.711,1
124,4,32,3968,11.593,4.718,6.168,0.707,1
128,4,32,4096,12.025,4.845,6.441,0.739,1
16,4,32,512,1.788,0.708,0.954,0.126,1
32,4,32,1024,3.145,1.212,1.71,0.223,1
4,4,32,128,0.403,0.176,0.183,0.044,1
4,4,32,128,12.02,11.723,0.246,0.051,0
64,4,32,2048,6.133,2.287,3.42,0.426,1
68,4,32,2176,6.37,2.416,3.53,0.424,1
72,4,32,2304,6.75,2.556,3.727,0.467,1
76,4,32,2432,7.168,2.696,3.978,0.494,1
80,4,32,2560,7.581,2.826,4.188,0.567,1
84,4,32,2688,8.019,2.939,4.553,0.527,1
88,4,32,2816,8.418,3.103,4.729,0.586,1
8,4,32,256,0.828,0.368,0.401,0.059,1
92,4,32,2944,8.865,3.269,5.023,0.573,1
96,4,32,3072,9.076,3.445,5.04,0.591,1
