k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,8192,457.267,383.295,73.49,0.482,0
128,4,32,8192,79.395,5.457,73.453,0.485,1
16,4,32,1024,40.889,32.583,8.224,0.082,0
16,4,32,1024,9.516,0.285,9.151,0.08,1
32,4,32,2048,94.585,76.948,17.501,0.136,0
32,4,32,2048,19.041,0.637,18.268,0.136,1
4,4,32,256,9.146,7.803,1.315,0.028,0
4,4,32,256,2.419,0.133,2.255,0.031,1
64,4,32,4096,190.503,154.157,36.105,0.241,0
64,4,32,4096,37.867,1.104,36.511,0.252,1
8,4,32,512,19.998,16.376,3.57,0.052,0
8,4,32,512,4.911,0.182,4.679,0.05,1
