code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,5,32,32768,11.692,2802.6,1.601,1.91,1.893,0.017,8.181
RS,128,4,14,4,32,32768,10.88,3011.76,1.541,2.001,1.985,0.016,7.338
RS,128,4,16,4,32,32768,8.233,3980.08,1.744,2.019,1.987,0.032,4.47
RS,128,4,18,3,32,32768,14.387,2277.61,2.311,2.989,2.952,0.037,9.087
RS,128,4,20,3,32,32768,12.872,2545.68,2.077,2.889,2.861,0.028,7.906
RS,128,4,22,2,32,32768,13.023,2516.16,2.403,3.183,3.15,0.033,7.437
RS,128,4,24,2,32,32768,14.853,2206.15,2.462,3.382,3.348,0.034,9.009
RS,128,4,26,2,32,32768,11.883,2757.55,0.822,3.362,3.319,0.043,7.699
RS,128,4,28,2,32,32768,13.812,2372.43,2.46,3.518,3.48,0.038,7.834
RS,128,4,30,2,32,32768,12.266,2671.45,2.483,1.981,1.938,0.043,7.802
RS,128,4,32,2,32,32768,12.371,2648.78,2.387,3.512,3.478,0.034,6.472
RS,128,4,34,1,32,32768,23.036,1422.47,6.176,5.444,5.389,0.055,11.416
RS,128,4,36,1,32,32768,23.06,1420.99,7.473,5.612,5.553,0.059,9.975
RS,128,4,38,1,32,32768,24.719,1325.62,7.454,5.76,5.707,0.053,11.505
RS,128,4,4,16,32,32768,30.232,1083.88,1.899,16.52,16.512,0.008,11.813
RS,128,4,40,1,32,32768,24.144,1357.19,6.826,5.817,5.763,0.054,11.501
RS,128,4,42,1,32,32768,24.95,1313.35,9.071,5.964,5.911,0.053,9.915
RS,128,4,44,1,32,32768,23.269,1408.23,9.468,4.665,4.609,0.056,9.136
RS,128,4,46,1,32,32768,25.103,1305.34,9.769,6.251,6.193,0.058,9.083
RS,128,4,48,1,32,32768,23.596,1388.71,9.547,4.915,4.86,0.055,9.134
RS,128,4,50,1,32,32768,24.049,1362.55,9.985,6.522,6.468,0.054,7.542
RS,128,4,52,1,32,32768,24.648,1329.44,10.275,6.704,6.649,0.055,7.669
RS,128,4,54,1,32,32768,24.454,1339.99,8.455,6.837,6.783,0.054,9.162
RS,128,4,56,1,32,32768,26.803,1222.55,10.507,7.047,6.995,0.052,9.249
RS,128,4,58,1,32,32768,25.681,1275.96,10.948,5.488,5.431,0.057,9.245
RS,128,4,6,10,32,32768,12.271,2670.36,1.319,1.079,1.072,0.007,9.873
RS,128,4,60,1,32,32768,26.707,1226.94,11.496,7.319,7.263,0.056,7.892
RS,128,4,62,1,32,32768,27.759,1180.45,11.038,7.429,7.371,0.058,9.292
RS,128,4,64,1,32,32768,28.778,1138.65,14.408,7.448,7.391,0.057,6.922
RS,128,4,8,8,32,32768,10.409,3148.04,1.696,1.554,1.547,0.007,7.159
