k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,9.326,3.653,5.092,0.581,1
104,4,32,3328,9.551,3.846,5.131,0.574,1
108,4,32,3456,10.254,4.023,5.635,0.596,1
112,4,32,3584,10.408,4.223,5.58,0.605,1
116,4,32,3712,10.725,4.386,5.728,0.611,1
120,4,32,3840,11.376,4.534,6.172,0.67,1
124,4,32,3968,12.096,5.358,6.088,0.65,1
128,4,32,4096,11.877,4.931,6.27,0.676,1
16,4,32,512,1.627,0.65,0.861,0.116,1
32,4,32,1024,3.065,1.184,1.667,0.214,1
4,4,32,128,0.507,0.182,0.28,0.045,1
64,4,32,2048,5.966,2.256,3.33,0.38,1
68,4,32,2176,6.49,2.407,3.656,0.427,1
72,4,32,2304,6.802,2.54,3.81,0.452,1
76,4,32,2432,6.988,2.675,3.871,0.442,1
80,4,32,2560,7.341,2.823,4.048,0.47,1
84,4,32,2688,7.706,2.934,4.273,0.499,1
88,4,32,2816,7.995,3.035,4.449,0.511,1
8,4,32,256,0.916,0.363,0.468,0.085,1
92,4,32,2944,8.507,3.241,4.743,0.523,1
96,4,32,3072,8.779,3.428,4.812,0.539,1
100,4,32,3200,9.326,3.653,5.092,0.581,1
104,4,32,3328,9.551,3.846,5.131,0.574,1
108,4,32,3456,10.254,4.023,5.635,0.596,1
112,4,32,3584,10.408,4.223,5.58,0.605,1
116,4,32,3712,10.725,4.386,5.728,0.611,1
120,4,32,3840,11.376,4.534,6.172,0.67,1
124,4,32,3968,12.096,5.358,6.088,0.65,1
128,4,32,4096,11.877,4.931,6.27,0.676,1
16,4,32,512,1.627,0.65,0.861,0.116,1
32,4,32,1024,3.065,1.184,1.667,0.214,1
4,4,32,128,0.507,0.182,0.28,0.045,1
64,4,32,2048,5.966,2.256,3.33,0.38,1
68,4,32,2176,6.49,2.407,3.656,0.427,1
72,4,32,2304,6.802,2.54,3.81,0.452,1
76,4,32,2432,6.988,2.675,3.871,0.442,1
80,4,32,2560,7.341,2.823,4.048,0.47,1
84,4,32,2688,7.706,2.934,4.273,0.499,1
88,4,32,2816,7.995,3.035,4.449,0.511,1
8,4,32,256,0.916,0.363,0.468,0.085,1
92,4,32,2944,8.507,3.241,4.743,0.523,1
96,4,32,3072,8.779,3.428,4.812,0.539,1
