k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,518.981,1027.4,4.794,-513.218,0
104,4,32,3328,554.159,1097.56,4.886,-548.282,0
108,4,32,3456,566.007,1120.77,5.107,-559.868,0
112,4,32,3584,585.149,1158.55,5.331,-578.733,0
116,4,32,3712,606.81,1201.58,5.482,-600.257,0
120,4,32,3840,872.331,1732.36,5.574,-865.599,0
124,4,32,3968,712.645,1412.43,5.806,-705.594,0
128,4,32,4096,670.676,1328.07,6.027,-663.424,0
16,4,32,512,119.525,236.775,1.039,-118.289,0
32,4,32,1024,182.197,360.958,1.548,-180.309,0
4,4,32,128,57.81,114.962,0.284,-57.4362,0
64,4,32,2048,318.152,629.566,3.056,-314.47,0
68,4,32,2176,336.301,665.51,3.214,-332.423,0
72,4,32,2304,358.253,708.859,3.477,-354.083,0
76,4,32,2432,372.916,737.871,3.619,-368.574,0
80,4,32,2560,533.789,1059.27,3.772,-529.251,0
84,4,32,2688,410.935,813.146,3.943,-406.154,0
88,4,32,2816,433.713,858.29,4.143,-428.72,0
8,4,32,256,79.994,158.552,0.658,-79.216,0
92,4,32,2944,482.758,956.003,4.311,-477.556,0
96,4,32,3072,475.747,941.4,4.547,-470.2,0
