k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,135.556,106.332,29.043,0.181,0
104,4,32,3328,141.585,111.206,30.186,0.193,0
108,4,32,3456,146.704,115.146,31.365,0.193,0
112,4,32,3584,153.455,120.726,32.525,0.204,0
116,4,32,3712,157.349,123.448,33.692,0.209,0
120,4,32,3840,162.594,127.532,34.838,0.224,0
124,4,32,3968,167.89,131.655,36.01,0.225,0
128,4,32,4096,175.034,137.627,37.173,0.234,0
16,4,32,512,21.279,16.581,4.656,0.042,0
32,4,32,1024,42.224,32.856,9.3,0.068,0
4,4,32,128,4.672,3.925,0.731,0.016,0
64,4,32,2048,85.713,66.998,18.591,0.124,0
68,4,32,2176,91.258,71.385,19.744,0.129,0
72,4,32,2304,96.729,75.68,20.912,0.137,0
76,4,32,2432,102.716,80.503,22.069,0.144,0
80,4,32,2560,108.407,85.021,23.236,0.15,0
84,4,32,2688,113.916,89.361,24.401,0.154,0
88,4,32,2816,119.116,93.39,25.56,0.166,0
8,4,32,256,10.608,8.252,2.335,0.021,0
92,4,32,2944,124.734,97.846,26.716,0.172,0
96,4,32,3072,129.879,101.823,27.879,0.177,0
