timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 844656
1753478096.224107443,844656,1,3499.535
1753478096.734351137,844656,1,3499.657
1753478097.244446943,844656,0,3500.316
1753478097.754817550,844656,0,3498.177
1753478098.265093716,844656,0,3498.700
1753478098.775237626,844656,0,3494.816
1753478099.285512382,844656,1,3499.081
1753478099.795843002,844656,1,3498.351
1753478100.306227614,844656,1,3499.086
1753478100.816680999,844656,1,3498.271
1753478101.327126398,844656,1,3498.663
1753478101.837395690,844656,1,3492.911
1753478102.347846054,844656,1,3499.742
1753478102.858196516,844656,1,3493.002
1753478103.368435200,844656,1,3498.891
1753478103.878687360,844656,1,3498.655
1753478104.389062723,844656,1,3497.219
1753478104.899472654,844656,1,3500.051
1753478105.409773217,844656,0,3498.256
1753478105.920027315,844656,0,3496.723
1753478106.430236076,844656,1,3504.238
1753478106.940314497,844656,1,3500.326
1753478107.450723875,844656,1,3499.886
1753478107.962331263,844656,1,3498.590
1753478108.472664954,844656,2,3499.237
1753478108.982906673,844656,2,3497.493
1753478109.493388122,844656,2,3499.527
1753478110.004164317,844656,2,3499.160
1753478110.514854587,844656,2,3499.602
1753478111.025107803,844656,2,3500.045
1753478111.535465965,844656,2,3499.671
1753478112.045825464,844656,2,3498.085
1753478112.556242544,844656,2,3499.997
1753478113.066597753,844656,3,3498.866
1753478113.576709910,844656,3,3497.865
1753478114.086938543,844656,3,3497.470
1753478114.597127861,844656,3,3498.514
1753478115.107290574,844656,2,3501.563
1753478115.617459754,844656,2,3499.852
1753478116.127715269,844656,2,3498.309
1753478116.637875685,844656,2,3497.772
1753478117.193331251,844656,2,3500.047
1753478117.703766068,844656,2,3499.644
1753478118.214138579,844656,2,3498.101
1753478118.724471699,844656,1,3499.544
1753478119.234971881,844656,1,3499.869
1753478119.745569279,844656,0,3499.369
1753478120.255878583,844656,2,3500.386
1753478120.766304907,844656,2,3499.778
1753478121.276404924,844656,2,3498.113
1753478121.786575934,844656,2,3499.997
1753478122.296717096,844656,2,3500.082
1753478122.806869540,844656,2,3500.338
1753478123.317008260,844656,2,3498.990
1753478123.827293440,844656,2,3500.588
1753478124.337687439,844656,2,3499.523
1753478124.847825565,844656,2,3499.785
1753478125.358653210,844656,2,3499.857
1753478125.869492448,844656,2,3500.274
1753478126.380450852,844656,3,3499.892
1753478126.891367141,844656,2,3499.962
1753478127.401996436,844656,2,3499.613
1753478127.912450178,844656,2,3499.089
1753478128.423197680,844656,2,3499.859
1753478128.933722251,844656,3,3499.715
1753478129.444187182,844656,2,3499.508
1753478129.954933935,844656,2,3499.580
1753478130.465219400,844656,2,3499.822
1753478130.976216073,844656,3,3499.962
1753478131.486833290,844656,3,3499.962
1753478131.997267530,844656,3,3499.857
1753478132.507896627,844656,3,3499.962
1753478133.018409777,844656,3,3499.715
1753478133.528918671,844656,3,3499.892
1753478134.039427715,844656,3,3499.824
1753478134.550147708,844656,3,3499.650
1753478135.060821548,844656,3,3499.229
1753478135.571480047,844656,3,3499.647
1753478136.082423276,844656,3,3499.962
1753478136.593639031,844656,3,3499.962
1753478137.104398620,844656,2,3499.323
1753478137.615479469,844656,3,3501.082
1753478138.128829064,844656,2,3499.962
1753478138.639967782,844656,2,3500.487
1753478139.150782108,844656,2,3499.855
1753478139.662428089,844656,2,3500.244
1753478140.173279087,844656,2,3499.263
1753478140.684008760,844656,2,3499.893
1753478141.194769897,844656,3,3500.767
1753478141.705676907,844656,3,3499.402
1753478142.216506412,844656,2,3499.263
1753478142.727062943,844656,2,3499.682
1753478143.237915384,844656,2,3499.824
1753478143.748568764,844656,2,3499.927
1753478144.259653680,844656,3,3499.228
1753478144.770466245,844656,3,3499.790
1753478145.280955004,844656,3,3499.751
1753478145.792043858,844656,3,3500.138
1753478146.302747864,844656,3,3499.787
1753478146.813216304,844656,3,3499.822
1753478147.324223411,844656,3,3500.103
1753478147.834708982,844656,2,3500.171
1753478148.345437194,844656,3,3499.962
1753478148.856063123,844656,3,3499.892
1753478149.366645944,844656,3,3499.438
1753478149.877158981,844656,3,3499.927
1753478150.387800831,844656,3,3499.508
1753478150.898164626,844656,3,3499.438
1753478151.408689186,844656,3,3499.718
1753478151.919120425,844656,3,3499.927
1753478152.429949089,844656,3,3500.102
1753478152.940788271,844656,3,3500.210
1753478153.451648581,844656,2,3500.067
1753478153.961958931,844656,2,3500.102
1753478154.472366537,844656,2,3499.682
1753478154.983165887,844656,3,3499.617
1753478155.493852001,844656,3,3499.927
1753478156.005782556,844656,3,3500.172
1753478156.516088169,844656,3,3498.839
1753478157.026839694,844656,3,3499.962
1753478157.537178449,844656,3,3499.403
1753478158.047932887,844656,2,3499.892
1753478158.558356350,844656,2,3500.277
1753478159.068694308,844656,2,3499.188
1753478159.579137915,844656,2,3499.404
1753478160.089944369,844656,2,3499.752
1753478160.600601617,844656,2,3499.519
1753478161.111144375,844656,2,3499.583
1753478161.622213719,844656,2,3500.207
1753478162.133104966,844656,2,3499.789
1753478162.643610028,844656,2,3499.543
1753478163.154126323,844656,2,3499.682
1753478163.664958677,844656,2,3500.032
1753478164.175453535,844656,3,3498.880
1753478164.686214295,844656,3,3499.680
1753478165.196827743,844656,3,3499.927
1753478165.707299822,844656,3,3499.822
1753478166.218370779,844656,3,3499.752
1753478166.729210028,844656,3,3499.962
1753478167.240009102,844656,3,3499.298
1753478167.750611660,844656,3,3499.610
1753478168.261201682,844656,3,3498.943
1753478168.771651229,844656,3,3499.124
1753478169.281966422,844656,3,3499.543
1753478169.792828946,844656,3,3500.067
1753478170.303629126,844656,3,3499.857
1753478170.814248275,844656,3,3499.962
1753478171.324723341,844656,3,3499.438
1753478171.836081632,844656,3,3500.242
1753478172.347128770,844656,3,3499.262
1753478172.857595969,844656,3,3499.204
1753478173.367957646,844656,3,3499.822
1753478173.878505316,844656,3,3499.891
1753478174.389253894,844656,3,3499.578
1753478174.899608140,844656,3,3499.892
1753478175.410140240,844656,3,3499.822
1753478175.920844344,844656,3,3499.718
1753478176.431417009,844656,3,3499.927
1753478176.941898706,844656,3,3499.508
1753478177.452829741,844656,3,3500.347
1753478177.963675542,844656,3,3500.954
1753478178.473921407,844656,3,3499.473
1753478178.984373211,844656,3,3499.437
1753478179.494727719,844656,3,3499.647
1753478180.007220813,844656,3,3500.655
1753478180.518178307,844656,3,3506.725
1753478181.029240909,844656,3,3500.067
1753478181.539870293,844656,2,3499.229
1753478182.050369739,844656,2,3499.717
1753478182.561251086,844656,2,3499.752
1753478183.072079869,844656,2,3499.822
1753478183.582443130,844656,2,3499.515
1753478184.093344946,844656,2,3499.613
1753478184.603725372,844656,2,3499.264
1753478185.114391047,844656,2,3499.856
1753478185.625267697,844656,2,3499.822
1753478186.135779867,844656,2,3499.613
1753478186.646456846,844656,2,3499.787
1753478187.156995508,844656,2,3499.578
1753478187.667470739,844656,3,3499.785
1753478188.178241631,844656,3,3499.159
1753478188.689040676,844656,3,3500.032
1753478189.199450411,844656,3,3499.752
1753478189.710152123,844656,3,3499.789
1753478190.220775696,844656,3,3499.962
1753478190.731394321,844656,3,3499.473
1753478191.242126360,844656,3,3499.753
1753478191.752578542,844656,3,3499.473
1753478192.262913275,844656,3,3499.540
1753478192.773781307,844656,3,3500.172
1753478193.284446824,844656,3,3499.437
1753478193.794809495,844656,3,3499.504
1753478194.305229858,844656,3,3499.789
1753478194.815647122,844656,3,3500.032
1753478195.326339052,844656,3,3499.158
1753478195.837126481,844656,3,3499.647
1753478196.347991760,844656,2,3499.542
1753478196.858738135,844656,2,3498.774
1753478197.369229824,844656,2,3499.613
1753478197.879546049,844656,2,3499.718
1753478198.390265869,844656,2,3499.158
1753478198.900835159,844656,2,3499.404
1753478199.411451559,844656,2,3499.997
1753478199.922088357,844656,2,3499.682
1753478200.432383137,844656,2,3499.159
1753478200.942833853,844656,2,3499.755
1753478201.453676672,844656,2,3499.647
1753478201.964238656,844656,2,3499.824
1753478202.475341263,844656,2,3499.647
1753478202.986394862,844656,3,3500.312
1753478203.496995732,844656,3,3499.612
1753478204.008693738,844656,3,3500.102
1753478204.518899297,844656,3,3499.473
1753478205.029337053,844656,3,3499.508
1753478205.539716007,844656,3,3499.822
1753478206.050424981,844656,3,3499.962
1753478206.561303338,844656,3,3500.067
1753478207.071953940,844656,2,3499.647
1753478207.582940051,844656,3,3499.682
1753478208.093908723,844656,3,3500.593
1753478208.604764655,844656,3,3499.717
1753478209.115601549,844656,2,3499.857
1753478209.626168799,844656,2,3499.680
1753478210.137299642,844656,2,3499.997
1753478210.647730273,844656,2,3499.508
1753478211.158460274,844656,3,3498.933
1753478211.669212551,844656,2,3500.242
1753478212.180235523,844656,3,3500.245
1753478212.691080453,844656,3,3499.997
1753478213.201724370,844656,3,3499.578
1753478213.712295495,844656,3,3499.089
1753478214.222614191,844656,3,3499.610
1753478214.733331198,844656,3,3499.402
1753478215.244258589,844656,3,3499.962
1753478215.755012665,844656,3,3500.135
1753478216.265914443,844656,3,3500.137
1753478216.776767767,844656,3,3499.296
1753478217.287594452,844656,2,3499.756
1753478217.798801298,844656,3,3500.172
1753478218.309402631,844656,3,3499.647
1753478218.820146798,844656,3,3499.752
1753478219.331132797,844656,2,3499.997
1753478219.841552416,844656,2,3499.438
1753478220.351972256,844656,2,3500.242
1753478220.862771128,844656,3,3500.207
1753478221.373293001,844656,3,3499.927
1753478221.884077747,844656,3,3499.962
1753478222.394426555,844656,3,3499.612
1753478222.905086115,844656,3,3499.298
1753478223.415710385,844656,3,3518.163
1753478223.926261625,844656,3,3499.962
1753478224.436426742,844656,3,3499.822
1753478224.946748861,844656,3,3500.067
1753478225.457288138,844656,3,3499.962
1753478225.967853623,844656,3,3499.193
1753478226.478501077,844656,3,3501.538
1753478226.989057676,844656,2,3499.892
1753478227.499723037,844656,2,3500.207
1753478228.012103359,844656,2,3499.542
1753478228.523232805,844656,2,3499.997
1753478229.034091606,844656,2,3499.617
1753478229.545368778,844656,2,3499.822
1753478230.056166761,844656,3,3499.822
1753478230.567027135,844656,2,3500.102
1753478231.077881413,844656,3,3499.822
1753478231.588798326,844656,3,3499.822
