code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,5,32,65536,21.571,3038.15,3.183,3.695,3.645,0.05,14.693
RS,128,4,14,4,32,65536,22.388,2927.28,3.101,3.985,3.941,0.044,15.302
RS,128,4,16,4,32,65536,18.281,3584.92,3.14,4.487,4.447,0.04,10.654
RS,128,4,18,3,32,65536,25.308,2589.54,4.096,5.406,5.356,0.05,15.806
RS,128,4,20,3,32,65536,24.854,2636.84,3.798,5.338,5.288,0.05,15.718
RS,128,4,22,2,32,65536,25.977,2522.85,1.842,6.274,6.201,0.073,17.861
RS,128,4,24,2,32,65536,27.894,2349.47,4.808,4.837,4.766,0.071,18.249
RS,128,4,26,2,32,65536,25.464,2573.67,4.785,4.985,4.905,0.08,15.694
RS,128,4,28,2,32,65536,27.205,2408.97,5.381,7.733,7.649,0.084,14.091
RS,128,4,30,2,32,65536,27.988,2341.57,5.045,7.144,7.071,0.073,15.799
RS,128,4,32,2,32,65536,23.274,2815.85,4.928,5.237,5.164,0.073,13.109
RS,128,4,34,1,32,65536,42.496,1542.17,9.307,11.721,11.597,0.124,21.468
RS,128,4,36,1,32,65536,45.714,1433.61,10.111,12.193,12.069,0.124,23.41
RS,128,4,38,1,32,65536,44.905,1459.44,10.463,10.768,10.638,0.13,23.674
RS,128,4,4,16,32,65536,37.008,1770.86,4.634,17.228,17.219,0.009,15.146
RS,128,4,40,1,32,65536,46.963,1395.48,13.009,12.487,12.363,0.124,21.467
RS,128,4,42,1,32,65536,46.87,1398.25,13.598,11.236,11.111,0.125,22.036
RS,128,4,44,1,32,65536,45.544,1438.96,14.937,13.401,13.26,0.141,17.206
RS,128,4,46,1,32,65536,44.444,1474.57,12.383,13.346,13.218,0.128,18.715
RS,128,4,48,1,32,65536,47.548,1378.31,16.863,13.762,13.629,0.133,16.923
RS,128,4,50,1,32,65536,44.499,1472.75,16.111,11.673,11.555,0.118,16.715
RS,128,4,52,1,32,65536,48.369,1354.92,15.093,14.318,14.206,0.112,18.958
RS,128,4,54,1,32,65536,49.626,1320.6,17.16,14.997,14.863,0.134,17.469
RS,128,4,56,1,32,65536,52.695,1243.69,21.144,12.557,12.425,0.132,18.994
RS,128,4,58,1,32,65536,52.124,1257.31,19.374,15.577,15.458,0.119,17.173
RS,128,4,6,10,32,65536,23.3,2812.7,1.422,2.983,2.963,0.02,18.895
RS,128,4,60,1,32,65536,52.226,1254.85,19.589,13.637,13.519,0.118,19
RS,128,4,62,1,32,65536,55.362,1183.77,22.263,13.837,13.723,0.114,19.262
RS,128,4,64,1,32,65536,49.95,1312.03,21.489,14.065,13.947,0.118,14.396
RS,128,4,8,8,32,65536,19.373,3382.85,2.828,2.525,2.5,0.025,14.02
