k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,155.134,251.839,29.035,-125.74,0
104,4,32,3328,160.035,259.295,30.207,-129.467,0
108,4,32,3456,168.072,273.055,31.349,-136.332,0
112,4,32,3584,171.363,277.284,32.523,-138.444,0
116,4,32,3712,176.234,284.688,33.686,-142.14,0
120,4,32,3840,181.938,293.762,34.842,-146.666,0
124,4,32,3968,187.676,302.881,36.016,-151.221,0
128,4,32,4096,195.119,315.422,37.185,-157.488,0
16,4,32,512,39.919,70.4705,4.647,-35.1985,0
32,4,32,1024,61.996,105.259,9.304,-52.5667,0
4,4,32,128,22.804,44.1028,0.738,-22.0368,0
64,4,32,2048,105.325,173.212,18.598,-86.4852,0
68,4,32,2176,110.859,181.972,19.746,-90.8594,0
72,4,32,2304,116.66,191.231,20.917,-95.4878,0
76,4,32,2432,122.688,200.951,22.074,-100.337,0
80,4,32,2560,128.039,209.336,23.225,-104.522,0
84,4,32,2688,133.808,218.539,24.385,-109.116,0
88,4,32,2816,138.583,225.75,25.548,-112.715,0
8,4,32,256,29.626,54.5504,2.326,-27.2504,0
92,4,32,2944,144.278,234.792,26.717,-117.231,0
96,4,32,3072,149.779,243.453,27.874,-121.548,0
