timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 320145
1753379863.197786149,320145,1,3499.122
1753379863.707858309,320145,1,3501.060
1753379864.217571244,320145,3,3511.024
1753379864.727728448,320145,0,3497.188
1753379865.237980368,320145,0,3499.912
1753379865.748029594,320145,3,3499.661
1753379866.258137796,320145,1,3500.499
1753379866.768321259,320145,1,3500.200
1753379867.278312067,320145,3,3499.128
1753379867.788429848,320145,3,3499.217
1753379868.298429365,320145,3,3499.856
1753379868.808514240,320145,3,3499.881
1753379869.318455298,320145,2,3498.322
1753379869.828596562,320145,2,3499.536
1753379870.338490351,320145,2,3499.250
1753379870.848350500,320145,2,3498.588
1753379871.358303098,320145,2,3498.181
1753379871.868145717,320145,2,3493.518
1753379872.378056039,320145,2,3495.803
1753379872.888020389,320145,2,3499.001
1753379873.397923173,320145,2,3498.935
1753379873.907812894,320145,3,3498.384
1753379874.417831454,320145,3,3497.898
1753379874.927760335,320145,1,3499.997
1753379875.437827589,320145,1,3500.052
1753379875.947792636,320145,0,3499.573
1753379876.457784312,320145,0,3500.080
1753379876.967817923,320145,0,3500.246
1753379877.477691301,320145,0,3499.997
1753379877.988248291,320145,0,3499.834
1753379878.498781283,320145,3,3500.205
1753379879.010346831,320145,0,3500.897
1753379879.520334582,320145,0,3523.555
1753379880.030638379,320145,0,3499.188
1753379880.540792389,320145,0,3499.008
1753379881.050845154,320145,0,3497.116
1753379881.560906651,320145,0,3499.086
1753379882.071098620,320145,1,3498.098
1753379882.581229995,320145,2,3500.302
1753379883.091113618,320145,3,3500.551
1753379883.601247359,320145,2,3497.455
1753379884.111231409,320145,3,3497.803
1753379884.621242076,320145,3,3498.826
1753379885.131304418,320145,3,3499.767
1753379885.641238450,320145,3,3484.952
1753379886.151187249,320145,3,3498.529
1753379886.661261617,320145,3,3497.451
1753379887.171266780,320145,3,3500.056
1753379887.681272779,320145,3,3498.247
1753379888.191294005,320145,3,3500.316
1753379888.701219940,320145,3,3496.103
1753379889.211250127,320145,3,3500.182
1753379889.721350936,320145,3,3499.508
1753379890.231349789,320145,3,3498.949
1753379890.741343675,320145,3,3499.616
1753379891.251282575,320145,3,3500.187
1753379891.761304641,320145,3,3499.997
1753379892.271232076,320145,1,3497.495
1753379892.784038182,320145,1,3500.172
1753379893.294266119,320145,3,3497.780
1753379893.804138710,320145,3,3498.238
1753379894.314040255,320145,3,3497.662
1753379894.823952525,320145,2,3495.835
