k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,135.443,106.225,29.034,0.184,0
100,4,32,3200,31.125,1.888,29.047,0.19,1
104,4,32,3328,140.898,110.503,30.204,0.191,0
104,4,32,3328,32.375,1.981,30.193,0.201,1
108,4,32,3456,146.245,114.691,31.359,0.195,0
108,4,32,3456,33.638,2.065,31.368,0.205,1
112,4,32,3584,151.6,118.877,32.522,0.201,0
112,4,32,3584,34.842,2.113,32.516,0.213,1
116,4,32,3712,157.2,123.306,33.682,0.212,0
116,4,32,3712,36.063,2.156,33.689,0.218,1
120,4,32,3840,162.993,127.937,34.843,0.213,0
120,4,32,3840,37.239,2.169,34.846,0.224,1
124,4,32,3968,168.093,131.865,36,0.228,0
124,4,32,3968,38.432,2.187,36.014,0.231,1
128,4,32,4096,173.321,135.915,37.177,0.229,0
128,4,32,4096,39.652,2.251,37.17,0.231,1
16,4,32,512,21.092,16.397,4.655,0.04,0
16,4,32,512,4.836,0.14,4.659,0.037,1
32,4,32,1024,42.046,32.68,9.3,0.066,0
32,4,32,1024,9.599,0.243,9.289,0.067,1
4,4,32,128,5.118,3.937,1.165,0.016,0
4,4,32,128,0.8,0.066,0.719,0.015,1
64,4,32,2048,85.81,67.091,18.595,0.124,0
64,4,32,2048,19.199,0.493,18.585,0.121,1
68,4,32,2176,91.538,71.665,19.743,0.13,0
68,4,32,2176,20.427,0.539,19.75,0.138,1
72,4,32,2304,97.217,76.169,20.908,0.14,0
72,4,32,2304,21.647,0.591,20.917,0.139,1
76,4,32,2432,102.991,80.776,22.075,0.14,0
76,4,32,2432,22.825,0.612,22.074,0.139,1
80,4,32,2560,109.027,85.326,23.559,0.142,0
80,4,32,2560,24.08,0.685,23.242,0.153,1
84,4,32,2688,114.661,90.111,24.394,0.156,0
84,4,32,2688,25.426,0.871,24.393,0.162,1
88,4,32,2816,119.348,93.608,25.574,0.166,0
88,4,32,2816,27.165,1.435,25.56,0.17,1
8,4,32,256,10.609,8.252,2.333,0.024,0
8,4,32,256,2.449,0.091,2.336,0.022,1
92,4,32,2944,124.71,97.814,26.725,0.171,0
92,4,32,2944,28.617,1.724,26.718,0.175,1
96,4,32,3072,130.117,102.058,27.886,0.173,0
96,4,32,3072,29.825,1.765,27.882,0.178,1
