k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,713.772,708.592,4.685,0.495,0
104,4,32,3328,736.29,730.893,4.883,0.514,0
108,4,32,3456,574.98,569.304,5.158,0.518,0
112,4,32,3584,843.755,837.921,5.304,0.53,0
116,4,32,3712,820.558,814.545,5.455,0.558,0
120,4,32,3840,582.24,576.019,5.647,0.574,0
124,4,32,3968,685.589,679.184,5.819,0.586,0
128,4,32,4096,617.376,610.651,6.128,0.597,0
16,4,32,512,70.157,69.198,0.847,0.112,0
32,4,32,1024,137.203,135.426,1.592,0.185,0
4,4,32,128,11.836,11.542,0.248,0.046,0
64,4,32,2048,272.884,269.461,3.092,0.331,0
68,4,32,2176,291.086,287.466,3.273,0.347,0
72,4,32,2304,308.054,304.245,3.444,0.365,0
76,4,32,2432,326.985,322.982,3.623,0.38,0
80,4,32,2560,345.312,341.091,3.824,0.397,0
84,4,32,2688,361.889,357.461,3.999,0.429,0
88,4,32,2816,407.956,403.329,4.198,0.429,0
8,4,32,256,34.758,34.238,0.442,0.078,0
92,4,32,2944,399.736,394.962,4.322,0.452,0
96,4,32,3072,685.683,680.702,4.513,0.468,0
