k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,599.692,594.519,4.68,0.493,0
104,4,32,3328,486.215,480.808,4.902,0.505,0
108,4,32,3456,597.403,591.812,5.072,0.519,0
112,4,32,3584,532.092,526.135,5.415,0.542,0
116,4,32,3712,698.588,692.564,5.47,0.554,0
120,4,32,3840,746.495,740.098,5.803,0.594,0
124,4,32,3968,601.49,595.045,5.858,0.587,0
128,4,32,4096,617.668,611.05,6.007,0.611,0
16,4,32,512,70.066,69.152,0.812,0.102,0
32,4,32,1024,137.197,135.427,1.598,0.172,0
4,4,32,128,12.162,11.801,0.318,0.043,0
64,4,32,2048,273.951,269.527,4.076,0.348,0
68,4,32,2176,291.189,287.559,3.292,0.338,0
72,4,32,2304,309.279,305.497,3.416,0.366,0
76,4,32,2432,327.419,323.408,3.641,0.37,0
80,4,32,2560,354.457,350.263,3.805,0.389,0
84,4,32,2688,363.323,358.919,3.977,0.427,0
88,4,32,2816,383.058,378.442,4.189,0.427,0
8,4,32,256,34.528,34.039,0.427,0.062,0
92,4,32,2944,401.346,396.532,4.368,0.446,0
96,4,32,3072,421.32,416.323,4.539,0.458,0
