k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,31.397,2.178,29.024,0.195,1
104,4,32,3328,32.633,2.238,30.196,0.199,1
108,4,32,3456,33.931,2.373,31.357,0.201,1
112,4,32,3584,35.156,2.423,32.524,0.209,1
116,4,32,3712,36.158,2.267,33.675,0.216,1
120,4,32,3840,37.534,2.477,34.842,0.215,1
124,4,32,3968,38.944,2.716,36.001,0.227,1
128,4,32,4096,40.227,2.823,37.165,0.239,1
16,4,32,512,4.823,0.141,4.643,0.039,1
32,4,32,1024,9.62,0.254,9.292,0.074,1
4,4,32,128,0.811,0.067,0.73,0.014,1
64,4,32,2048,19.479,0.766,18.584,0.129,1
68,4,32,2176,20.718,0.832,19.75,0.136,1
72,4,32,2304,21.632,0.586,20.907,0.139,1
76,4,32,2432,22.854,0.631,22.075,0.148,1
80,4,32,2560,25.095,1.713,23.229,0.153,1
84,4,32,2688,26.356,1.803,24.385,0.168,1
88,4,32,2816,27.648,1.92,25.553,0.175,1
8,4,32,256,2.439,0.09,2.324,0.025,1
92,4,32,2944,29.023,2.132,26.717,0.174,1
96,4,32,3072,29.851,1.789,27.872,0.19,1
