k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,119.337,111.78,7.347,0.21,0
128,4,32,4096,12.765,2.342,10.235,0.188,1
16,4,32,512,10.418,9.145,1.236,0.037,0
16,4,32,512,1.37,0.114,1.218,0.038,1
32,4,32,1024,17.019,14.463,2.494,0.062,0
32,4,32,1024,2.765,0.221,2.48,0.064,1
4,4,32,128,2.53,2.16,0.35,0.02,0
4,4,32,128,0.435,0.06,0.36,0.015,1
64,4,32,2048,45.139,39.995,5.038,0.106,0
64,4,32,2048,6.088,0.825,5.152,0.111,1
8,4,32,256,5.457,4.783,0.648,0.026,0
8,4,32,256,0.691,0.075,0.592,0.024,1
