k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,627.422,620.398,6.382,0.642,0
128,4,32,4096,15.53,8.425,6.381,0.724,1
16,4,32,512,70.606,69.652,0.835,0.119,0
16,4,32,512,1.57,0.643,0.818,0.109,1
32,4,32,1024,137.952,136.111,1.644,0.197,0
32,4,32,1024,3.05,1.184,1.664,0.202,1
4,4,32,128,11.838,11.572,0.22,0.046,0
4,4,32,128,0.442,0.166,0.236,0.04,1
64,4,32,2048,275.902,272.446,3.099,0.357,0
64,4,32,2048,5.751,2.251,3.113,0.387,1
8,4,32,256,34.739,34.249,0.419,0.071,0
8,4,32,256,0.845,0.354,0.432,0.059,1
