k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,9.264,3.655,5.045,0.564,1
104,4,32,3328,9.627,3.84,5.192,0.595,1
108,4,32,3456,10.009,4.013,5.401,0.595,1
112,4,32,3584,10.63,4.24,5.756,0.634,1
116,4,32,3712,10.934,4.454,5.809,0.671,1
120,4,32,3840,11.069,4.531,5.879,0.659,1
124,4,32,3968,11.923,4.742,6.468,0.713,1
128,4,32,4096,11.869,4.858,6.34,0.671,1
16,4,32,512,1.706,0.66,0.911,0.135,1
32,4,32,1024,3.213,1.201,1.804,0.208,1
4,4,32,128,0.475,0.174,0.258,0.043,1
64,4,32,2048,6.001,2.252,3.353,0.396,1
68,4,32,2176,6.223,2.397,3.412,0.414,1
72,4,32,2304,6.727,2.523,3.762,0.442,1
76,4,32,2432,6.956,2.659,3.861,0.436,1
80,4,32,2560,7.337,2.827,4.031,0.479,1
84,4,32,2688,7.657,2.935,4.232,0.49,1
88,4,32,2816,8.031,3.081,4.445,0.505,1
8,4,32,256,0.966,0.377,0.518,0.071,1
92,4,32,2944,8.439,3.24,4.671,0.528,1
96,4,32,3072,8.886,3.406,4.883,0.597,1
