k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,122.315,111.711,10.416,0.188,0
128,4,32,4096,13.466,3.012,10.245,0.209,1
16,4,32,512,10.427,9.159,1.23,0.038,0
16,4,32,512,1.395,0.113,1.241,0.041,1
32,4,32,1024,16.986,14.425,2.5,0.061,0
32,4,32,1024,2.837,0.218,2.544,0.075,1
4,4,32,128,2.429,2.087,0.321,0.021,0
4,4,32,128,0.366,0.058,0.29,0.018,1
64,4,32,2048,47.44,42.337,4.99,0.113,0
64,4,32,2048,5.975,0.828,5.034,0.113,1
8,4,32,256,2.967,2.296,0.647,0.024,0
8,4,32,256,0.726,0.077,0.626,0.023,1
