k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,223.07,185.668,37.169,0.233,0
128,4,32,4096,40.293,2.903,37.144,0.246,1
16,4,32,512,21.204,16.511,4.653,0.04,0
16,4,32,512,4.836,0.142,4.654,0.04,1
32,4,32,1024,42.252,32.88,9.302,0.07,0
32,4,32,1024,9.619,0.254,9.29,0.075,1
4,4,32,128,5.073,3.899,1.159,0.015,0
4,4,32,128,0.831,0.068,0.744,0.019,1
64,4,32,2048,85.354,66.648,18.583,0.123,0
64,4,32,2048,19.24,0.531,18.58,0.129,1
8,4,32,256,10.585,8.235,2.327,0.023,0
8,4,32,256,2.44,0.092,2.327,0.021,1
