k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1436.33,1429.86,5.887,0.574,0
128,4,32,4096,20.726,14.198,5.954,0.574,1
16,4,32,512,70.086,69.163,0.814,0.109,0
16,4,32,512,1.569,0.633,0.819,0.117,1
32,4,32,1024,137.101,135.359,1.562,0.18,0
32,4,32,1024,2.933,1.168,1.568,0.197,1
4,4,32,128,11.959,11.676,0.237,0.046,0
4,4,32,128,0.452,0.167,0.239,0.046,1
64,4,32,2048,272.594,269.252,3.033,0.309,0
64,4,32,2048,5.62,2.231,3.038,0.351,1
8,4,32,256,34.544,33.999,0.473,0.072,0
8,4,32,256,0.855,0.353,0.432,0.07,1
