k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,94.806,86.818,7.803,0.185,0
128,4,32,4096,10.197,2.303,7.701,0.193,1
16,4,32,512,8.658,7.341,1.29,0.027,0
16,4,32,512,1.509,0.169,1.316,0.024,1
32,4,32,1024,20.93,18.332,2.547,0.051,0
32,4,32,1024,2.895,0.293,2.552,0.05,1
4,4,32,128,2.334,2.005,0.319,0.01,0
4,4,32,128,0.41,0.074,0.326,0.01,1
64,4,32,2048,41.997,39.299,2.604,0.094,0
64,4,32,2048,6.069,0.871,5.093,0.105,1
8,4,32,256,5.316,4.636,0.664,0.016,0
8,4,32,256,0.79,0.108,0.664,0.018,1
