timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 2377345
1753483464.015946115,2377345,6,2700.000
1753483464.552893725,2377345,7,2700.000
1753483465.091390897,2377345,7,2700.000
1753483465.627243410,2377345,7,2700.000
1753483466.167655747,2377345,7,2700.000
1753483466.704483407,2377345,7,2700.000
1753483467.240043002,2377345,6,2700.000
1753483467.775285092,2377345,6,2700.000
1753483468.312411016,2377345,6,2700.000
1753483468.848350467,2377345,6,2700.000
1753483469.385168370,2377345,6,2700.000
1753483469.919843007,2377345,6,2700.000
1753483470.454037287,2377345,6,2700.000
1753483470.988334801,2377345,6,2700.000
1753483471.522866101,2377345,6,2700.000
1753483472.057654619,2377345,6,2700.000
1753483472.591745341,2377345,6,2700.000
1753483473.126391106,2377345,6,2700.000
1753483473.660731727,2377345,6,2700.000
1753483474.195487312,2377345,6,2700.000
1753483474.729449909,2377345,6,2700.000
1753483475.263468649,2377345,6,2700.000
1753483475.797321006,2377345,6,2700.000
1753483476.331382205,2377345,6,2700.000
1753483476.866189626,2377345,6,2700.000
1753483477.400954977,2377345,6,2700.000
1753483477.934875762,2377345,6,2700.000
1753483478.469843549,2377345,6,2700.000
1753483479.003917890,2377345,6,2700.000
1753483479.538255137,2377345,6,2700.000
1753483480.072690026,2377345,6,2700.000
1753483480.606965135,2377345,6,2700.000
1753483481.141004760,2377345,6,2700.000
1753483481.675745623,2377345,6,2700.000
1753483482.210849279,2377345,6,2700.000
1753483482.744963754,2377345,6,2700.000
1753483483.278944694,2377345,6,2700.000
1753483483.813072670,2377345,6,2700.000
1753483484.347101319,2377345,6,2700.000
1753483484.881239409,2377345,6,2700.000
1753483485.415409165,2377345,6,2700.000
1753483485.949532496,2377345,6,2700.000
1753483486.484163413,2377345,6,2700.000
1753483487.018230659,2377345,6,2700.000
1753483487.552109080,2377345,6,2700.000
1753483488.086139237,2377345,6,2700.000
1753483488.619859979,2377345,6,2700.000
1753483489.153743255,2377345,6,2700.000
1753483489.687889487,2377345,6,2700.000
1753483490.221882604,2377345,6,2700.000
1753483490.756335234,2377345,6,2700.000
1753483491.290361371,2377345,6,2700.000
1753483491.824674099,2377345,6,2700.000
1753483492.358983081,2377345,6,2700.000
1753483492.893252872,2377345,6,2700.000
1753483493.427417319,2377345,6,2700.000
1753483493.962217741,2377345,6,2700.000
1753483494.496335499,2377345,6,2700.000
1753483495.030384309,2377345,6,2700.000
1753483495.564447023,2377345,6,2700.000
1753483496.098471151,2377345,6,2700.000
1753483496.633050106,2377345,6,2700.000
1753483497.168038074,2377345,6,2700.000
1753483497.702643518,2377345,6,2700.000
1753483498.236671834,2377345,6,2700.000
1753483498.770638225,2377345,6,2700.000
1753483499.304710945,2377345,6,2700.000
1753483499.838645242,2377345,6,2700.000
1753483500.373216883,2377345,6,2700.000
1753483500.907253770,2377345,6,2700.000
1753483501.441478711,2377345,6,2700.000
1753483501.975771029,2377345,6,2700.000
1753483502.509780526,2377345,6,2700.000
1753483503.044187617,2377345,6,2700.000
1753483503.578733196,2377345,6,2700.000
1753483504.112943142,2377345,6,2700.000
1753483504.647039669,2377345,6,2700.000
1753483505.181113840,2377345,6,2700.000
1753483505.715145323,2377345,6,2700.000
1753483506.250030472,2377345,6,2700.000
1753483506.784660550,2377345,6,2700.000
1753483507.318782502,2377345,6,2700.000
1753483507.852828123,2377345,6,2700.000
1753483508.386759124,2377345,6,2700.000
1753483508.920587341,2377345,6,2700.000
1753483509.454391625,2377345,6,2700.000
1753483509.988356344,2377345,6,2700.000
1753483510.523361928,2377345,6,2700.000
1753483511.057412278,2377345,6,2700.000
1753483511.591444206,2377345,6,2700.000
1753483512.125686932,2377345,6,2700.000
1753483512.659832393,2377345,6,2700.000
1753483513.194185402,2377345,6,2700.000
1753483513.728568297,2377345,6,2700.000
1753483514.262693878,2377345,6,2700.000
1753483514.796673117,2377345,6,2700.000
1753483515.331584183,2377345,6,2700.000
1753483515.865368386,2377345,6,2700.000
1753483516.399790253,2377345,6,2700.000
1753483516.934671620,2377345,6,2700.000
1753483517.469430307,2377345,6,2700.000
1753483518.003984600,2377345,6,2700.000
1753483518.537991575,2377345,6,2700.000
1753483519.071993176,2377345,6,2700.000
1753483519.606066224,2377345,6,2700.000
1753483520.140295054,2377345,6,2700.000
1753483520.674500296,2377345,6,2700.000
1753483521.208430068,2377345,6,2700.000
1753483521.742556278,2377345,6,2700.000
1753483522.276535204,2377345,6,2700.000
1753483522.810463412,2377345,6,2700.000
1753483523.344774830,2377345,6,2700.000
1753483523.878918526,2377345,6,2700.000
1753483524.412674827,2377345,6,2700.000
1753483524.947714544,2377345,6,2700.000
1753483525.481538799,2377345,6,2700.000
1753483526.015290058,2377345,6,2700.000
1753483526.549096348,2377345,6,2700.000
1753483527.083505583,2377345,6,2700.000
1753483527.618005808,2377345,6,2700.000
1753483528.152522261,2377345,6,2700.000
1753483528.686247791,2377345,6,2700.000
1753483529.219915689,2377345,6,2700.000
1753483529.753819288,2377345,6,2700.000
