k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,451.189,445.989,4.713,0.487,0
104,4,32,3328,476.744,471.258,4.968,0.518,0
108,4,32,3456,506.582,500.923,5.133,0.526,0
112,4,32,3584,836.821,831.033,5.249,0.539,0
116,4,32,3712,555.069,549.021,5.495,0.553,0
120,4,32,3840,915.933,909.661,5.706,0.566,0
124,4,32,3968,597.321,590.683,6.054,0.584,0
128,4,32,4096,892.897,886.279,6.015,0.603,0
16,4,32,512,70.108,69.169,0.829,0.11,0
32,4,32,1024,137.033,135.255,1.591,0.187,0
4,4,32,128,11.931,11.643,0.239,0.049,0
64,4,32,2048,272.48,269.085,3.066,0.329,0
68,4,32,2176,291.942,288.315,3.287,0.34,0
72,4,32,2304,308.47,304.658,3.451,0.361,0
76,4,32,2432,326.801,322.756,3.658,0.387,0
80,4,32,2560,345.044,340.823,3.826,0.395,0
84,4,32,2688,362.981,358.578,3.995,0.408,0
88,4,32,2816,382.754,378.159,4.162,0.433,0
8,4,32,256,34.714,34.204,0.439,0.071,0
92,4,32,2944,401.431,396.628,4.349,0.454,0
96,4,32,3072,420.02,415.003,4.554,0.463,0
