k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,452.978,447.846,4.66,0.472,0
100,4,32,3200,12.302,7.14,4.692,0.47,1
104,4,32,3328,481.31,475.947,4.877,0.486,0
104,4,32,3328,9.49,4.039,4.95,0.501,1
108,4,32,3456,507.736,502.095,5.136,0.505,0
108,4,32,3456,13.729,8.182,5.038,0.509,1
112,4,32,3584,533.921,528.162,5.242,0.517,0
112,4,32,3584,13.176,7.383,5.262,0.531,1
116,4,32,3712,554.436,548.441,5.433,0.562,0
116,4,32,3712,13.234,7.226,5.463,0.545,1
120,4,32,3840,629.698,623.547,5.595,0.556,0
120,4,32,3840,10.91,4.74,5.619,0.551,1
124,4,32,3968,981.6,975.164,5.866,0.57,0
124,4,32,3968,11.035,4.688,5.769,0.578,1
128,4,32,4096,746.314,739.782,5.937,0.595,0
128,4,32,4096,15.122,8.565,5.963,0.594,1
16,4,32,512,70.125,69.184,0.833,0.108,0
16,4,32,512,1.58,0.639,0.823,0.118,1
32,4,32,1024,137.134,135.383,1.567,0.184,0
32,4,32,1024,2.949,1.171,1.577,0.201,1
4,4,32,128,11.884,11.601,0.239,0.044,0
4,4,32,128,0.463,0.169,0.253,0.041,1
64,4,32,2048,273.037,269.692,3.03,0.315,0
64,4,32,2048,5.667,2.244,3.069,0.354,1
68,4,32,2176,291.079,287.496,3.244,0.339,0
68,4,32,2176,5.975,2.375,3.237,0.363,1
72,4,32,2304,309.407,305.584,3.468,0.355,0
72,4,32,2304,6.291,2.489,3.417,0.385,1
76,4,32,2432,327.659,323.622,3.66,0.377,0
76,4,32,2432,6.607,2.634,3.574,0.399,1
80,4,32,2560,348.221,344.064,3.774,0.383,0
80,4,32,2560,7.125,2.941,3.784,0.4,1
84,4,32,2688,364.195,359.857,3.947,0.391,0
84,4,32,2688,7.245,2.873,3.937,0.435,1
88,4,32,2816,383.067,378.523,4.124,0.42,0
88,4,32,2816,7.598,3.025,4.125,0.448,1
8,4,32,256,34.567,34.048,0.443,0.076,0
8,4,32,256,0.861,0.352,0.441,0.068,1
92,4,32,2944,400.417,395.702,4.287,0.428,0
92,4,32,2944,8.012,3.232,4.305,0.475,1
96,4,32,3072,643.356,638.359,4.543,0.454,0
96,4,32,3072,11.821,6.855,4.492,0.474,1
