code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time,isa-l
RS,4,4,4,1,32,64,4096,37.966,107.886,0.744,14.173,13.833,0.34,23.049,1
RS,8,4,8,1,32,64,4096,37.955,107.917,0.772,25.544,25.377,0.167,11.639,1
RS,16,4,16,1,32,64,4096,38.174,107.298,0.791,31.457,31.375,0.082,5.926,1
RS,32,4,32,1,32,64,4096,38.359,106.781,1.303,33.974,33.932,0.042,3.082,1
RS,64,4,64,1,32,64,4096,40.256,101.749,2.552,36.049,36.027,0.022,1.655,1
RS,128,4,128,1,32,64,4096,40.72,100.589,2.57,37.211,37.2,0.011,0.939,1
